ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
251,ALUNO-251,2020,Escola Pública,0,1,1,N,Não,8.576,Topázio,8.5,8.9,7.5,10.0,7.292,7.333,10.0,,
259,ALUNO-259,2020,Rede Decisão/União,1,1,7,B,Sim,8.753,Topázio,9.167,9.1,7.5,7.667,8.75,9.292,10.0,,
261,ALUNO-261,2020,Escola Pública,0,0,3,A,Não,7.252,Ágata,9.167,8.8,7.5,6.333,7.5,7.792,2.5,,
262,ALUNO-262,2020,Rede Decisão/União,1,3,5,F,Sim,8.221,Ametista,7.917,9.2,5.0,6.667,9.062,9.25,10.0,,
263,ALUNO-263,2020,Rede Decisão/União,1,4,5,B,Não,8.386,Ametista,9.583,9.5,6.875,6.333,8.958,8.389,10.0,,
265,ALUNO-265,2020,Escola Pública,0,1,4,A,Não,7.631,Ametista,8.75,10.0,6.875,6.0,8.125,7.778,5.0,,
266,ALUNO-266,2020,Escola Pública,0,1,1,B,Não,8.336,Ametista,8.5,8.9,5.625,8.5,8.438,8.0,10.0,,
267,ALUNO-267,2020,Rede Decisão/União,1,2,3,J,Sim,8.371,Ametista,9.167,9.7,5.625,8.0,8.958,9.778,5.0,,
269,ALUNO-269,2020,Escola Pública,0,1,1,J,Não,7.099,Ágata,7.5,8.6,7.5,5.75,7.292,7.5,5.0,,
270,ALUNO-270,2020,Escola Pública,0,3,3,C,Não,7.19,Ágata,6.667,4.2,4.375,8.667,8.125,8.5,10.0,,
273,ALUNO-273,2020,Escola Pública,0,2,1,R,Não,4.387,Quartzo,9.0,4.4,7.5,0.0,7.292,4.389,2.5,,
274,ALUNO-274,2020,Escola Pública,0,2,5,A,Não,6.113,Ágata,7.917,5.6,7.5,3.667,7.292,7.444,5.0,,
275,ALUNO-275,2020,Escola Pública,0,3,3,M,Não,6.399,Ágata,10.0,5.2,7.5,4.333,6.094,5.667,10.0,,
277,ALUNO-277,2020,Escola Pública,0,2,1,E,Não,8.019,Ametista,9.5,8.4,5.625,10.0,7.708,7.778,5.0,,
278,ALUNO-278,2020,Escola Pública,0,1,5,L,Não,8.241,Ametista,8.75,9.6,9.375,7.333,8.75,8.333,5.0,,
280,ALUNO-280,2020,Escola Pública,0,2,1,F,Não,6.646,Ágata,8.5,6.2,5.0,6.5,6.562,8.0,5.0,,
284,ALUNO-284,2020,Escola Pública,0,0,3,A,Não,7.902,Ametista,7.917,9.9,7.5,7.667,7.969,7.75,5.0,,
285,ALUNO-285,2020,Escola Pública,0,0,2,D,Não,5.113,Quartzo,9.5,0.0,7.5,1.0,8.125,7.0,10.0,,
286,ALUNO-286,2020,Escola Pública,0,0,1,G,Não,6.956,Ágata,8.0,6.0,6.875,7.5,7.188,7.75,5.0,,
287,ALUNO-287,2020,Escola Pública,0,1,2,H,Sim,8.302,Ametista,7.417,8.5,7.5,7.5,8.438,8.833,10.0,,
288,ALUNO-288,2020,Escola Pública,0,0,2,C,Não,6.84,Ágata,9.0,7.7,7.5,3.75,8.333,7.833,5.0,,
292,ALUNO-292,2020,Escola Pública,0,1,4,B,Sim,8.486,Topázio,10.0,9.9,6.875,7.667,8.958,9.444,5.0,,
293,ALUNO-293,2020,Escola Pública,0,1,5,F,Não,4.416,Quartzo,6.667,1.3,4.375,0.0,7.188,6.667,10.0,,
295,ALUNO-295,2020,Escola Pública,0,3,1,D,Não,7.586,Ametista,9.0,8.9,4.375,7.25,4.688,7.75,10.0,,
296,ALUNO-296,2020,Escola Pública,0,0,2,B,Não,7.713,Ametista,9.0,8.9,7.5,5.0,7.5,7.667,10.0,,
297,ALUNO-297,2020,Escola Pública,0,1,3,J,Não,7.201,Ágata,8.333,8.7,4.375,6.0,8.125,8.389,5.0,,
298,ALUNO-298,2020,Escola Pública,0,2,1,G,Não,6.337,Ágata,8.5,6.6,5.0,6.5,5.0,6.833,5.0,,
