NOME,INSTITUICAO_ENSINO_ALUNO_2021,FASE_2021,TURMA_2021,PONTO_VIRADA_2021,SINALIZADOR_INGRESSANTE_2021,INDE_2021,PEDRA_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,IPV_2021,IAN_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-760,Escola Pública,0,P,Não,Veterano,7.36,Ametista,8.0,5.8,7.5,6.8,7.8,7.5,10.0,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
ALUNO-763,Escola Pública,1,F,Não,Ingressante,6.546,Ágata,7.5,7.1,7.5,3.2,7.9,8.5,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-766,Escola Pública,5,A,Não,Ingressante,7.44,Ametista,9.2,7.5,7.5,6.5,7.8,8.4,5.0,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 6 (2o EM),-1
ALUNO-768,Rede Decisão,3,G,Não,Veterano,8.065,Ametista,8.3,9.2,6.3,8.4,8.1,8.9,5.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 5 (1o EM),-2
ALUNO-769,Escola Pública,3,B,Não,Ingressante,8.401,Topázio,9.6,7.2,7.5,8.5,7.7,8.9,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-773,Rede Decisão,2,F,Sim,Veterano,8.921,Topázio,9.5,10.0,7.5,8.9,9.8,9.8,5.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-775,Escola Pública,2,A,Sim,Ingressante,9.211,Topázio,9.5,10.0,7.5,8.9,8.1,9.6,10.0,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-776,Escola Pública,3,R,Não,Veterano,5.424,Quartzo,7.9,4.2,7.5,3.9,6.9,5.4,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-2
ALUNO-777,Escola Pública,2,D,Não,Veterano,5.5,Quartzo,8.0,3.8,7.5,4.3,7.5,6.8,2.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 5 (1o EM),-3
ALUNO-781,Escola Pública,3,M,Não,Veterano,5.45,Quartzo,8.8,3.1,7.5,3.3,6.7,4.4,10.0,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-783,Escola Pública,2,K,Não,Veterano,6.118,Ágata,7.5,4.6,7.5,3.6,8.3,8.3,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-784,Rede Decisão,2,G,Sim,Ingressante,8.533,Topázio,9.5,9.2,8.8,7.9,8.5,9.7,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-786,Escola Pública,5,F,Não,Veterano,5.341,Quartzo,7.1,6.1,5.0,3.3,7.2,5.1,5.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 7 (3o EM),-2
ALUNO-790,Rede Decisão,4,A,Sim,Veterano,8.65,Topázio,10.0,8.3,7.5,7.5,8.8,9.3,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 4 (9o ano),0
ALUNO-792,Escola Pública,2,I,Não,Veterano,5.531,Quartzo,6.3,5.8,5.0,4.1,7.5,5.8,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-793,Escola Pública,1,E,Não,Veterano,6.506,Ágata,8.0,7.9,7.5,3.9,7.3,6.8,5.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-794,Rede Decisão,3,L,Não,Veterano,7.211,Ametista,7.9,7.5,6.3,8.2,7.9,8.1,2.5,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 6 (2o EM),-3
ALUNO-796,Escola Pública,4,E,Não,Veterano,5.943,Ágata,8.3,6.7,7.5,2.3,7.3,4.2,10.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 4 (9o ano),0
ALUNO-797,Escola Pública,2,R,Não,Veterano,2.468,Quartzo,0.0,0.4,6.3,0.0,6.9,4.1,2.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 6 (2o EM),-4
ALUNO-798,Escola Pública,3,R,Não,Ingressante,7.25,Ametista,9.2,7.5,7.5,6.5,7.5,7.7,5.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1
ALUNO-802,Escola Pública,0,Q,Sim,Ingressante,9.046,Topázio,9.5,10.0,7.5,7.9,8.8,9.4,10.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
