NOME,INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_2020,TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
ALUNO-686,Escola Pública,11,2,0,D,Não,7.768,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.0,8.6,5.0,9.0,7.812,7.333,5.0
ALUNO-688,Escola Pública,17,2,7,B,Não,6.894,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.25,7.6,5.625,4.667,7.031,7.75,10.0
ALUNO-689,Rede Decisão/União,11,3,2,B,Sim,7.777,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,9.3,5.0,5.5,5.0,9.583,10.0
ALUNO-691,Escola Pública,11,1,1,C,Não,7.694,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.0,9.2,6.25,9.0,7.292,7.5,5.0
ALUNO-693,Escola Pública,8,0,0,H,Não,8.25,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.5,10.0,7.5,10.0,2.5,7.0,10.0
ALUNO-695,Escola Pública,8,0,0,C,Não,8.631,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,10.0,7.5,9.0,7.812,7.0,10.0
ALUNO-696,Escola Pública,12,1,2,G,Sim,7.778,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.6,7.5,6.5,7.917,8.833,5.0
ALUNO-698,Escola Pública,16,0,5,B,Não,7.009,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.083,8.8,5.625,5.333,8.333,7.889,5.0
ALUNO-699,Escola Pública,12,1,2,P,Não,6.793,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,4.7,7.5,6.5,7.917,8.056,5.0
ALUNO-700,Escola Pública,11,1,2,F,Não,6.966,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,6.9,7.5,4.5,7.917,6.222,10.0
ALUNO-702,Escola Pública,9,1,1,E,Não,8.818,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.5,9.5,7.5,10.0,7.292,7.944,10.0
ALUNO-703,Escola Pública,13,1,2,D,Não,8.34,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,9.9,7.5,9.5,8.438,7.583,5.0
ALUNO-704,Escola Pública,11,2,2,D,Não,7.59,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,9.7,7.5,3.5,7.5,7.75,10.0
ALUNO-707,Escola Pública,14,1,2,C,Não,7.794,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,8.7,7.5,8.0,7.708,7.667,5.0
ALUNO-708,Escola Pública,10,1,1,H,Não,8.005,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,8.1,7.5,10.0,7.292,7.778,5.0
ALUNO-710,Rede Decisão/União,10,2,2,B,Não,8.432,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.5,8.2,6.25,9.0,7.5,8.333,10.0
ALUNO-712,Escola Pública,11,0,1,B,Não,7.589,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,8.6,7.5,7.5,7.188,7.75,5.0
ALUNO-713,Escola Pública,11,1,2,J,Não,6.067,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.833,6.8,7.5,1.5,5.625,7.556,10.0
ALUNO-714,Escola Pública,16,2,7,A,Não,5.55,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,2.7,4.375,4.5,6.562,6.333,10.0
ALUNO-716,Escola Pública,9,1,2,G,Não,7.709,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,9.9,7.5,3.5,8.125,7.833,10.0
ALUNO-718,Escola Pública,14,1,2,N,Não,5.547,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,7.4,4.375,0.0,7.292,7.5,5.0
ALUNO-719,Escola Pública,10,3,2,F,Não,5.688,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.0,5.4,4.375,1.5,7.708,6.5,10.0
ALUNO-720,Escola Pública,17,1,5,L,Não,6.325,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,7.3,6.25,4.0,7.708,7.722,5.0
ALUNO-721,Escola Pública,12,1,1,G,Não,5.66,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.3,5.0,4.0,2.5,7.0,5.0
ALUNO-724,Escola Pública,11,1,2,R,Não,7.862,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.917,9.4,7.5,6.0,7.292,8.056,10.0
ALUNO-725,Escola Pública,11,2,2,M,Não,6.731,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,3.3,5.0,7.0,6.875,7.917,10.0
ALUNO-731,Escola Pública,17,1,5,L,Não,6.438,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.167,7.8,3.125,4.333,7.708,7.556,5.0
ALUNO-732,Escola Pública,14,2,4,L,Não,7.851,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.917,7.0,7.5,7.667,8.542,7.611,10.0
ALUNO-733,Escola Pública,11,2,2,M,Não,7.045,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.5,7.9,8.125,2.5,7.188,7.917,10.0
ALUNO-737,Escola Pública,11,1,2,N,Não,8.07,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.5,9.6,7.5,6.5,7.5,7.5,10.0
ALUNO-738,Escola Pública,12,2,2,R,Não,7.458,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.0,6.875,6.0,8.542,8.333,5.0
